Date,Open,High,Low,Close,Adj Close,Volume
2016-05-11,117.000000,118.250000,116.300003,117.300003,108.348289,622661
2016-05-12,117.750000,119.199997,117.250000,118.949997,109.872368,596225
2016-05-13,118.000000,120.699997,118.000000,119.550003,110.426590,1103386
2016-05-16,119.550003,121.000000,118.449997,120.650002,111.442635,688646
2016-05-17,121.000000,121.400002,119.599998,120.349998,111.165527,1068540
2016-05-18,120.000000,121.750000,119.550003,120.949997,111.719749,641976
2016-05-19,120.000000,122.000000,118.949997,119.949997,110.796043,1085102
2016-05-20,119.900002,121.150002,119.500000,120.050003,110.888428,466672
2016-05-23,120.500000,124.099998,119.699997,120.400002,111.211716,1396870
2016-05-24,121.699997,122.199997,119.699997,121.750000,112.458694,1438192
2016-05-25,120.000000,121.000000,119.150002,119.500000,110.380394,1787665
2016-05-26,120.000000,120.250000,118.150002,118.599998,109.549088,1383549
2016-05-27,118.099998,119.400002,116.849998,117.300003,108.348289,676137
2016-05-30,118.000000,119.650002,117.300003,117.949997,108.948692,692008
2016-05-31,117.800003,119.099998,117.550003,117.750000,108.763947,658231
2016-06-01,118.199997,119.449997,117.849998,118.050003,109.041061,581341
2016-06-02,118.500000,119.800003,117.650002,119.250000,110.149483,549738
2016-06-03,120.949997,122.099998,119.699997,120.199997,111.026970,1783456
2016-06-06,120.349998,121.199997,118.599998,119.300003,110.195663,866406
2016-06-07,119.400002,120.349998,118.849998,119.349998,110.241852,690551
2016-06-08,119.300003,126.500000,118.900002,124.400002,114.906464,2390316
2016-06-09,127.300003,127.449997,124.599998,124.949997,115.414482,2825223
2016-06-10,125.300003,126.000000,122.699997,123.650002,114.213692,900666
2016-06-13,122.000000,129.000000,122.000000,128.149994,118.370277,4305954
2016-06-14,129.399994,129.500000,126.000000,126.500000,116.846191,2902578
2016-06-15,127.250000,128.149994,126.599998,127.000000,117.308037,1662070
2016-06-16,126.900002,128.550003,123.800003,126.099998,116.476715,1489092
2016-06-17,126.500000,128.350006,124.699997,125.699997,116.107239,1717907
2016-06-20,124.550003,127.150002,124.550003,126.150002,116.522911,732869
2016-06-21,126.300003,126.800003,125.099998,125.449997,115.876328,447117
2016-06-22,125.599998,128.649994,124.699997,127.250000,117.538956,2792498
2016-06-23,127.500000,128.149994,125.599998,126.750000,117.077118,1408701
2016-06-24,120.500000,124.849998,117.099998,124.250000,114.767899,3585896
2016-06-27,124.750000,126.400002,124.300003,125.949997,116.338165,2162032
2016-06-28,127.500000,128.600006,126.750000,127.849998,118.093170,2563561
2016-06-29,128.149994,130.899994,128.100006,129.699997,119.801994,2735697
2016-06-30,130.500000,131.949997,129.449997,131.199997,121.187523,2810587
2016-07-01,132.000000,136.750000,131.500000,134.899994,124.605156,5379977
2016-07-04,135.600006,135.800003,133.800003,134.100006,123.866219,1144671
2016-07-05,134.250000,136.149994,133.199997,133.899994,123.681465,942568
2016-07-07,133.500000,136.399994,133.449997,134.449997,124.189499,2125346
2016-07-08,134.449997,134.600006,131.449997,132.600006,122.480698,1296935
2016-07-11,134.000000,135.000000,132.699997,133.100006,122.942535,1689644
2016-07-12,133.449997,135.149994,132.500000,132.899994,122.757774,1612081
2016-07-13,132.899994,133.800003,131.100006,132.149994,122.065010,1306338
2016-07-14,132.899994,133.300003,131.600006,132.600006,122.480698,1093389
2016-07-15,134.000000,134.500000,132.250000,132.600006,122.480698,1587827
2016-07-18,133.000000,133.449997,129.149994,129.949997,120.032906,2283784
2016-07-19,131.500000,131.500000,128.800003,130.050003,120.125290,3903542
2016-07-20,130.350006,134.800003,130.350006,133.850006,123.635284,1887075
2016-07-21,134.800003,134.800003,131.149994,131.800003,121.741737,1884426
2016-07-22,131.899994,132.899994,131.199997,131.500000,121.464615,2012357
2016-07-25,131.750000,134.000000,131.199997,133.449997,123.265816,1656721
2016-07-26,133.449997,134.550003,130.550003,131.149994,121.141327,1271947
2016-07-27,131.449997,138.750000,131.449997,137.449997,126.960548,3576969
2016-07-28,138.000000,142.250000,136.550003,140.149994,129.454483,3754038
2016-07-29,140.899994,144.699997,139.199997,142.149994,131.301865,3056272
2016-08-01,143.000000,144.850006,138.250000,141.000000,130.239639,1987955
2016-08-02,141.000000,141.800003,138.100006,138.399994,127.838051,1175233
2016-08-03,138.399994,140.050003,135.100006,135.750000,125.390289,1451654
2016-08-04,136.000000,139.399994,135.500000,138.300003,127.745682,1515003
2016-08-05,138.500000,140.649994,138.500000,139.100006,128.484650,1427614
2016-08-08,138.550003,143.500000,138.399994,142.899994,134.164780,2430227
2016-08-09,143.899994,147.000000,139.149994,143.250000,134.493408,8549636
2016-08-10,144.250000,144.500000,137.250000,137.750000,129.329620,3289526
2016-08-11,137.500000,139.250000,135.750000,137.300003,128.907120,1140212
2016-08-12,137.800003,139.449997,136.000000,136.949997,128.578506,1024054
2016-08-16,136.899994,139.100006,136.100006,138.050003,129.611252,1518494
2016-08-17,138.800003,139.399994,137.149994,137.649994,129.235718,778141
2016-08-18,138.449997,139.550003,137.850006,138.850006,130.362381,901208
2016-08-19,139.850006,141.850006,138.750000,141.250000,132.615662,2298138
2016-08-22,142.000000,142.050003,138.000000,138.399994,129.939880,1398679
2016-08-23,138.699997,141.000000,138.399994,139.600006,131.066559,1282978
2016-08-24,140.399994,142.449997,139.800003,140.250000,131.676804,2956023
2016-08-25,143.399994,145.500000,140.100006,140.449997,131.864563,4868511
2016-08-26,141.000000,141.699997,138.899994,139.899994,131.348190,1468343
2016-08-29,140.550003,141.149994,137.800003,139.000000,130.503220,1604324
2016-08-30,139.649994,140.750000,138.750000,140.199997,131.629837,1832319
2016-08-31,140.100006,141.600006,140.000000,140.250000,131.676804,1401308
2016-09-01,140.250000,143.350006,140.000000,141.100006,132.474838,2493654
2016-09-02,141.399994,142.600006,141.000000,141.600006,132.944275,1681308
2016-09-06,141.899994,143.250000,141.250000,141.750000,133.085098,1300643
2016-09-07,141.750000,144.199997,141.300003,142.199997,133.507599,2381717
2016-09-08,142.250000,143.500000,141.800003,142.199997,133.507599,1155009
2016-09-09,142.199997,142.699997,138.800003,139.699997,131.160400,1199464
2016-09-12,137.899994,138.399994,134.949997,135.300003,127.029373,2248691
2016-09-14,135.199997,138.199997,135.100006,137.449997,129.047943,1045853
2016-09-15,137.350006,138.500000,136.300003,137.000000,128.625458,1451283
2016-09-16,138.350006,141.699997,137.850006,139.850006,131.301239,3029995
2016-09-19,139.850006,141.300003,138.949997,139.899994,131.348190,1362666
2016-09-20,139.699997,140.350006,137.500000,138.000000,129.564316,1787917
2016-09-21,138.000000,140.350006,137.600006,138.050003,129.611252,1635459
2016-09-22,139.149994,139.949997,137.699997,138.899994,130.409302,1204798
2016-09-23,138.899994,144.000000,138.100006,142.399994,133.695358,3538509
2016-09-26,143.449997,144.250000,140.000000,140.649994,132.052338,2769361
2016-09-27,140.899994,146.399994,140.550003,144.550003,135.713928,3316650
2016-09-28,148.100006,149.149994,145.600006,146.750000,137.779465,6464628
2016-09-29,147.899994,148.000000,134.350006,137.000000,128.625458,4753568
2016-09-30,136.949997,140.899994,136.199997,139.600006,131.066559,1471713
2016-10-03,140.949997,143.149994,139.800003,142.350006,133.648438,1927658
2016-10-04,142.500000,143.250000,138.750000,141.800003,133.132050,2678079
2016-10-05,141.949997,154.399994,140.449997,153.300003,143.929092,9741635
2016-10-06,153.949997,155.449997,148.600006,150.899994,141.675766,6256632
2016-10-07,152.300003,154.500000,150.600006,151.250000,142.004410,4097231
2016-10-10,151.899994,153.949997,151.100006,151.649994,142.379944,2063455
2016-10-13,151.449997,153.000000,145.100006,147.850006,138.812225,3116651
2016-10-14,149.000000,154.199997,147.399994,153.199997,143.835175,3968866
2016-10-17,153.000000,154.250000,149.199997,150.250000,141.065521,3180180
2016-10-18,150.949997,152.699997,150.750000,151.899994,142.614655,2736835
